"","police","BLM","partyID"
"344",70,85,1
"345",100,0,7
"346",40,0,7
"347",-6,-6,2
"348",100,15,7
"349",100,60,3
"350",85,85,3
"351",95,0,2
"352",100,15,5
"353",-6,-6,1
"354",85,60,2
"355",100,40,7
"356",100,0,7
"357",-6,-6,7
"358",60,70,6
"359",70,60,1
"360",80,20,7
"361",30,85,2
"362",-6,-6,2
"363",100,50,5
"364",70,100,1
"365",-6,-6,5
"366",100,50,4
"367",85,85,3
"368",30,60,4
"369",85,60,2
"370",85,100,1
"371",60,0,6
"372",60,60,2
"373",85,60,1
"374",30,30,6
"375",85,100,2
"376",85,70,1
"377",40,100,3
"378",85,30,6
"379",85,85,3
"380",100,0,5
"381",40,85,1
"382",100,50,6
"383",85,40,1
"384",70,50,1
"385",100,70,7
"386",100,100,1
"387",85,85,3
"388",85,0,5
"389",100,70,7
"390",60,40,5
"391",70,30,5
"392",85,0,7
"393",85,0,6
"394",100,100,3
"395",100,100,1
"396",100,15,7
"397",60,100,1
"398",70,15,7
"399",60,50,5
"400",85,30,6
"401",85,85,5
"402",100,70,1
"403",50,60,2
"404",30,0,6
"405",85,40,5
"406",70,60,2
"407",50,50,2
"408",70,70,3
"409",85,15,5
"410",100,60,3
"411",70,999,3
"412",85,40,4
"413",70,50,7
"414",85,30,7
"415",85,30,1
"416",-6,-6,2
"417",85,70,3
"418",60,70,1
"419",70,60,5
"420",50,50,2
"421",50,50,4
"422",70,30,6
"423",998,998,2
"424",-6,-6,7
"425",100,0,1
"426",-6,-6,3
"427",100,0,2
"428",70,40,6
"429",60,50,3
"430",85,40,3
"431",-6,-6,7
"432",100,0,7
"433",-6,-6,2
"434",60,0,5
"435",85,15,7
"436",-6,-6,5
"437",60,60,5
"438",100,30,5
"439",85,40,5
"440",50,50,5
"441",85,15,7
"442",85,30,4
"443",85,85,1
"444",70,998,5
"445",100,85,7
"446",100,50,5
"447",100,40,2
"448",10,50,2
"449",0,999,5
"450",70,60,3
"451",100,100,1
"452",85,50,2
"453",85,0,7
"454",40,60,2
"455",100,998,7
"456",100,0,7
"457",70,70,6
"458",-6,-6,1
"459",40,50,4
"460",-6,-6,3
"461",-6,-6,3
"462",999,0,6
"463",70,60,5
"464",85,50,7
"465",30,100,3
"466",-6,-6,3
"467",-6,-6,7
"468",100,70,6
"469",100,30,5
"470",70,100,4
"471",-6,-6,3
"472",100,60,7
"473",15,100,5
"474",85,50,7
"475",85,60,2
"476",50,70,4
"477",85,85,3
"478",80,0,5
"479",70,50,5
"480",70,50,3
"481",50,100,2
"482",-6,-6,6
"483",85,70,4
"484",70,50,7
"485",-6,-6,7
"486",70,70,6
"487",70,100,2
"488",100,100,1
"489",70,85,3
"490",70,50,6
"491",100,0,7
"492",-6,-6,7
"493",50,50,4
"494",40,85,2
"495",85,85,3
"496",100,85,4
"497",85,50,5
"498",30,85,4
"499",-6,-6,4
"500",70,0,-8
"501",100,0,5
"502",100,50,1
"503",85,30,5
"504",70,39,3
"505",90,70,4
"506",70,40,6
"507",85,0,7
"508",70,70,3
"509",60,50,4
"510",50,85,6
"511",85,40,5
"512",100,85,4
"513",85,0,5
"514",70,85,1
